interaction_id,occurred_at,customer_id,campaign_id,product_id,channel,event_type,session_id,region,segment,spend_usd,revenue_usd,creative_id,agency_id,deal_id
INT-00016,2025-03-07T22:52:00+00:00,CUST-0041,CAMP-008,SKU-0016,email,impression,SES-00190,EMEA,SMB,0.05,0.0,CR-0018,AGY-05,DEAL-1056
INT-00017,2025-03-06T10:41:00+00:00,CUST-0013,CAMP-013,SKU-0025,partner,impression,SES-00046,NA,Mid-Market,0.91,0.0,CR-0001,AGY-03,DEAL-1100
INT-00018,2025-03-21T10:29:00+00:00,CUST-0006,CAMP-004,SKU-0020,partner,landing_view,SES-00033,LATAM,Mid-Market,1.02,0.0,CR-0007,AGY-06,DEAL-1011
INT-00019,2025-01-11T09:13:00+00:00,CUST-0061,CAMP-031,SKU-0025,content_syndication,impression,SES-00014,EMEA,Mid-Market,0.33,0.0,CR-0031,AGY-05,DEAL-1009
INT-00020,2025-01-23T14:10:00+00:00,CUST-0063,CAMP-005,SKU-0027,paid_search,impression,SES-00208,NA,Mid-Market,0.66,0.0,CR-0006,AGY-03,DEAL-1106
INT-00021,2025-02-09T00:47:00+00:00,CUST-0078,CAMP-015,SKU-0005,organic_social,click,SES-00114,LATAM,Mid-Market,0.05,0.0,CR-0038,AGY-06,DEAL-1100
INT-00022,2025-01-15T07:05:00+00:00,CUST-0079,CAMP-007,SKU-0024,webinar,landing_view,SES-00068,EMEA,Startup,1.48,0.0,CR-0006,AGY-05,DEAL-1102
INT-00023,2025-01-03T23:18:00+00:00,CUST-0021,CAMP-001,SKU-0010,organic_social,click,SES-00153,NA,Enterprise,0.05,0.0,CR-0019,AGY-05,DEAL-1108
INT-00024,2025-03-02T04:22:00+00:00,CUST-0090,CAMP-030,SKU-0013,social_paid,landing_view,SES-00068,LATAM,Mid-Market,0.52,0.0,CR-0038,AGY-03,DEAL-1098
INT-00025,2025-01-06T10:16:00+00:00,CUST-0055,CAMP-008,SKU-0017,webinar,landing_view,SES-00069,EMEA,Mid-Market,1.44,0.0,CR-0005,AGY-05,DEAL-1035
INT-00026,2025-02-06T15:17:00+00:00,CUST-0077,CAMP-019,SKU-0018,content_syndication,impression,SES-00177,LATAM,SMB,0.34,0.0,CR-0045,AGY-05,DEAL-1022
INT-00027,2025-01-23T18:56:00+00:00,CUST-0057,CAMP-006,SKU-0014,paid_search,demo_booked,SES-00189,NA,SMB,5.98,134.86,CR-0039,AGY-04,DEAL-1098
INT-00028,2025-03-01T07:14:00+00:00,CUST-0087,CAMP-018,SKU-0026,paid_search,form_submit,SES-00045,NA,Startup,9.96,0.0,CR-0034,AGY-05,DEAL-1084
INT-00029,2025-03-02T23:55:00+00:00,CUST-0082,CAMP-032,SKU-0010,social_paid,click,SES-00105,LATAM,Mid-Market,1.06,0.0,CR-0021,AGY-03,DEAL-1048
INT-00030,2025-01-09T00:22:00+00:00,CUST-0043,CAMP-027,SKU-0005,content_syndication,impression,SES-00103,LATAM,Mid-Market,0.28,0.0,CR-0030,AGY-04,DEAL-1085
INT-00031,2025-01-05T22:24:00+00:00,CUST-0015,CAMP-026,SKU-0018,paid_search,landing_view,SES-00139,LATAM,Enterprise,0.91,0.0,CR-0027,AGY-03,DEAL-1024
INT-00032,2025-01-12T22:12:00+00:00,CUST-0080,CAMP-032,SKU-0010,content_syndication,form_submit,SES-00053,NA,Startup,6.1,0.0,CR-0036,AGY-03,DEAL-1034
INT-00033,2025-02-20T06:24:00+00:00,CUST-0016,CAMP-002,SKU-0013,webinar,landing_view,SES-00080,EMEA,Mid-Market,1.56,0.0,CR-0001,AGY-04,DEAL-1027
INT-00034,2025-02-16T07:38:00+00:00,CUST-0015,CAMP-030,SKU-0014,social_paid,landing_view,SES-00040,LATAM,Enterprise,0.51,0.0,CR-0019,AGY-03,DEAL-1024
INT-00035,2025-03-25T21:51:00+00:00,CUST-0062,CAMP-031,SKU-0019,webinar,click,SES-00038,NA,Mid-Market,4.12,0.0,CR-0013,AGY-05,DEAL-1069
INT-00036,2025-03-16T16:31:00+00:00,CUST-0009,CAMP-018,SKU-0023,organic_social,impression,SES-00202,NA,Startup,0.01,0.0,CR-0018,AGY-05,DEAL-1110
INT-00037,2025-02-20T05:40:00+00:00,CUST-0076,CAMP-032,SKU-0010,email,click,SES-00124,EMEA,Mid-Market,0.16,0.0,CR-0022,AGY-03,DEAL-1112
INT-00038,2025-01-22T06:13:00+00:00,CUST-0059,CAMP-021,SKU-0015,webinar,purchase,SES-00062,NA,SMB,56.68,9727.13,CR-0025,AGY-06,DEAL-1090
INT-00039,2025-02-15T02:03:00+00:00,CUST-0091,CAMP-025,SKU-0003,organic_social,purchase,SES-00203,APAC,Mid-Market,0.69,27071.48,CR-0010,AGY-02,DEAL-1082
INT-00040,2025-02-07T07:36:00+00:00,CUST-0013,CAMP-029,SKU-0011,social_paid,click,SES-00117,NA,Mid-Market,1.33,0.0,CR-0010,AGY-06,DEAL-1118
INT-00041,2025-01-08T07:27:00+00:00,CUST-0010,CAMP-031,SKU-0019,partner,impression,SES-00178,NA,Enterprise,0.99,0.0,CR-0042,AGY-05,DEAL-1007
INT-00042,2025-03-09T23:20:00+00:00,CUST-0041,CAMP-032,SKU-0010,paid_search,landing_view,SES-00061,EMEA,SMB,0.88,0.0,CR-0015,AGY-03,DEAL-1020
INT-00043,2025-01-30T12:36:00+00:00,CUST-0082,CAMP-007,SKU-0020,content_syndication,impression,SES-00077,LATAM,Mid-Market,0.33,0.0,CR-0003,AGY-05,DEAL-1048
INT-00044,2025-03-04T01:24:00+00:00,CUST-0046,CAMP-024,SKU-0021,organic_social,impression,SES-00136,LATAM,Mid-Market,0.02,0.0,CR-0037,AGY-06,DEAL-1033
INT-00045,2025-01-14T00:38:00+00:00,CUST-0023,CAMP-006,SKU-0026,organic_social,landing_view,SES-00062,EMEA,Startup,0.02,0.0,CR-0038,AGY-04,DEAL-1086
INT-00046,2025-02-19T18:03:00+00:00,CUST-0059,CAMP-017,SKU-0014,paid_search,demo_booked,SES-00120,NA,SMB,7.69,69.11,CR-0044,AGY-01,DEAL-1090
INT-00047,2025-03-19T16:08:00+00:00,CUST-0082,CAMP-028,SKU-0005,partner,click,SES-00078,LATAM,Mid-Market,2.98,0.0,CR-0025,AGY-01,DEAL-1048
INT-00048,2025-02-06T00:39:00+00:00,CUST-0049,CAMP-023,SKU-0009,partner,purchase,SES-00076,APAC,Mid-Market,26.75,19579.43,CR-0043,AGY-06,DEAL-1034
INT-00049,2025-02-27T22:42:00+00:00,CUST-0078,CAMP-032,SKU-0010,partner,form_submit,SES-00059,LATAM,Mid-Market,9.05,0.0,CR-0015,AGY-03,DEAL-1100
INT-00050,2025-02-03T05:03:00+00:00,CUST-0081,CAMP-007,SKU-0020,paid_search,impression,SES-00113,NA,Startup,0.8,0.0,CR-0038,AGY-05,DEAL-1100
INT-00051,2025-02-18T07:39:00+00:00,CUST-0038,CAMP-021,SKU-0015,organic_social,impression,SES-00034,NA,Enterprise,0.02,0.0,CR-0024,AGY-06,DEAL-1119
INT-00052,2025-02-12T15:05:00+00:00,CUST-0022,CAMP-017,SKU-0014,content_syndication,purchase,SES-00076,APAC,Mid-Market,13.94,27102.21,CR-0008,AGY-01,DEAL-1008
INT-00053,2025-01-12T05:59:00+00:00,CUST-0072,CAMP-024,SKU-0016,social_paid,form_submit,SES-00004,LATAM,SMB,5.45,0.0,CR-0035,AGY-06,DEAL-1095
INT-00054,2025-02-26T09:25:00+00:00,CUST-0075,CAMP-025,SKU-0015,display,impression,SES-00060,LATAM,Enterprise,0.27,0.0,CR-0002,AGY-02,DEAL-1102
INT-00055,2025-02-07T03:56:00+00:00,CUST-0079,CAMP-015,SKU-0005,social_paid,landing_view,SES-00119,EMEA,Startup,0.42,0.0,CR-0042,AGY-06,DEAL-1102
INT-00056,2025-02-05T09:00:00+00:00,CUST-0005,CAMP-020,SKU-0022,content_syndication,impression,SES-00061,LATAM,Mid-Market,0.3,0.0,CR-0009,AGY-06,DEAL-1006
INT-00057,2025-02-07T03:32:00+00:00,CUST-0076,CAMP-010,SKU-0011,organic_social,landing_view,SES-00214,EMEA,Mid-Market,0.02,0.0,CR-0040,AGY-04,DEAL-1112
INT-00058,2025-03-31T06:52:00+00:00,CUST-0005,CAMP-024,SKU-0016,webinar,click,SES-00061,LATAM,Mid-Market,4.22,0.0,CR-0007,AGY-06,DEAL-1006
INT-00059,2025-03-02T07:50:00+00:00,CUST-0008,CAMP-026,SKU-0018,partner,impression,SES-00032,APAC,Enterprise,0.82,0.0,CR-0006,AGY-03,DEAL-1062
INT-00060,2025-01-07T05:52:00+00:00,CUST-0007,CAMP-022,SKU-0006,webinar,purchase,SES-00202,LATAM,Enterprise,58.12,16915.07,CR-0014,AGY-06,DEAL-1021
INT-00061,2025-01-23T19:33:00+00:00,CUST-0043,CAMP-010,SKU-0021,paid_search,impression,SES-00038,LATAM,Mid-Market,0.82,0.0,CR-0035,AGY-04,DEAL-1085
INT-00062,2025-01-30T11:17:00+00:00,CUST-0085,CAMP-002,SKU-0022,email,impression,SES-00203,LATAM,Mid-Market,0.04,0.0,CR-0038,AGY-04,DEAL-1039
INT-00063,2025-02-10T19:16:00+00:00,CUST-0007,CAMP-009,SKU-0022,organic_social,click,SES-00191,LATAM,Enterprise,0.05,0.0,CR-0031,AGY-01,DEAL-1021
INT-00064,2025-02-11T16:36:00+00:00,CUST-0058,CAMP-015,SKU-0023,paid_search,form_submit,SES-00169,APAC,Mid-Market,10.9,0.0,CR-0020,AGY-06,DEAL-1094
INT-00065,2025-01-30T07:39:00+00:00,CUST-0052,CAMP-028,SKU-0023,social_paid,click,SES-00114,LATAM,SMB,1.24,0.0,CR-0006,AGY-01,DEAL-1064
INT-00066,2025-02-11T07:09:00+00:00,CUST-0017,CAMP-018,SKU-0023,display,click,SES-00153,LATAM,Startup,0.8,0.0,CR-0019,AGY-05,DEAL-1095
INT-00067,2025-03-17T07:31:00+00:00,CUST-0013,CAMP-008,SKU-0016,webinar,click,SES-00059,NA,Mid-Market,3.94,0.0,CR-0022,AGY-05,DEAL-1100
INT-00068,2025-03-28T19:09:00+00:00,CUST-0094,CAMP-007,SKU-0011,display,click,SES-00171,EMEA,Enterprise,0.72,0.0,CR-0024,AGY-05,DEAL-1074
INT-00069,2025-02-20T15:24:00+00:00,CUST-0009,CAMP-006,SKU-0014,social_paid,impression,SES-00025,NA,Startup,0.31,0.0,CR-0009,AGY-04,DEAL-1110
INT-00070,2025-03-30T03:29:00+00:00,CUST-0086,CAMP-008,SKU-0016,organic_social,impression,SES-00171,LATAM,SMB,0.01,0.0,CR-0004,AGY-05,DEAL-1028
INT-00071,2025-02-01T20:50:00+00:00,CUST-0046,CAMP-007,SKU-0021,webinar,impression,SES-00124,LATAM,Mid-Market,1.32,0.0,CR-0007,AGY-05,DEAL-1033
INT-00072,2025-02-25T20:22:00+00:00,CUST-0015,CAMP-018,SKU-0023,webinar,mql,SES-00217,LATAM,Enterprise,21.15,0.0,CR-0040,AGY-05,DEAL-1024
INT-00073,2025-01-01T13:20:00+00:00,CUST-0004,CAMP-012,SKU-0008,partner,landing_view,SES-00080,NA,Mid-Market,1.09,0.0,CR-0023,AGY-02,DEAL-1056
INT-00074,2025-03-09T21:54:00+00:00,CUST-0073,CAMP-026,SKU-0008,social_paid,impression,SES-00163,EMEA,Startup,0.36,0.0,CR-0006,AGY-03,DEAL-1118
INT-00075,2025-03-12T17:01:00+00:00,CUST-0054,CAMP-030,SKU-0013,display,impression,SES-00080,NA,SMB,0.27,0.0,CR-0021,AGY-03,DEAL-1011
INT-00076,2025-01-25T18:25:00+00:00,CUST-0007,CAMP-010,SKU-0008,email,form_submit,SES-00013,LATAM,Enterprise,0.63,0.0,CR-0006,AGY-04,DEAL-1021
INT-00077,2025-01-11T02:14:00+00:00,CUST-0054,CAMP-018,SKU-0026,webinar,form_submit,SES-00030,NA,SMB,15.31,0.0,CR-0028,AGY-05,DEAL-1011
INT-00078,2025-01-19T14:34:00+00:00,CUST-0068,CAMP-020,SKU-0026,paid_search,impression,SES-00154,APAC,SMB,0.71,0.0,CR-0001,AGY-06,DEAL-1115
INT-00079,2025-01-16T23:48:00+00:00,CUST-0018,CAMP-017,SKU-0014,partner,impression,SES-00002,NA,Mid-Market,0.8,0.0,CR-0028,AGY-01,DEAL-1007
INT-00080,2025-01-02T16:56:00+00:00,CUST-0065,CAMP-023,SKU-0009,social_paid,click,SES-00190,EMEA,Startup,1.19,0.0,CR-0028,AGY-06,DEAL-1055
INT-00081,2025-02-06T20:48:00+00:00,CUST-0041,CAMP-028,SKU-0007,organic_social,landing_view,SES-00107,EMEA,SMB,0.02,0.0,CR-0008,AGY-01,DEAL-1056
INT-00082,2025-02-09T15:44:00+00:00,CUST-0022,CAMP-030,SKU-0027,display,impression,SES-00217,APAC,Mid-Market,0.25,0.0,CR-0016,AGY-03,DEAL-1008
INT-00083,2025-02-16T11:10:00+00:00,CUST-0051,CAMP-020,SKU-0026,display,impression,SES-00200,APAC,Startup,0.25,0.0,CR-0005,AGY-06,DEAL-1026
INT-00084,2025-01-16T19:00:00+00:00,CUST-0045,CAMP-023,SKU-0008,email,impression,SES-00038,APAC,Enterprise,0.05,0.0,CR-0013,AGY-06,DEAL-1112
INT-00085,2025-03-26T02:50:00+00:00,CUST-0023,CAMP-032,SKU-0010,content_syndication,form_submit,SES-00195,EMEA,Startup,6.29,0.0,CR-0044,AGY-03,DEAL-1086
INT-00086,2025-01-28T13:31:00+00:00,CUST-0081,CAMP-021,SKU-0025,email,click,SES-00121,NA,Startup,0.16,0.0,CR-0041,AGY-06,DEAL-1100
INT-00087,2025-03-17T16:52:00+00:00,CUST-0046,CAMP-005,SKU-0013,partner,click,SES-00010,LATAM,Mid-Market,2.81,0.0,CR-0024,AGY-03,DEAL-1033
INT-00088,2025-02-10T22:27:00+00:00,CUST-0079,CAMP-025,SKU-0003,content_syndication,click,SES-00203,EMEA,Startup,1.12,0.0,CR-0003,AGY-02,DEAL-1102
INT-00089,2025-03-31T10:03:00+00:00,CUST-0042,CAMP-031,SKU-0023,email,trial_start,SES-00116,EMEA,SMB,1.97,86.28,CR-0022,AGY-05,DEAL-1078
INT-00090,2025-02-03T22:30:00+00:00,CUST-0091,CAMP-029,SKU-0018,content_syndication,click,SES-00157,APAC,Mid-Market,1.13,0.0,CR-0024,AGY-06,DEAL-1082
INT-00091,2025-01-31T00:13:00+00:00,CUST-0053,CAMP-022,SKU-0018,paid_search,form_submit,SES-00166,LATAM,Startup,7.58,0.0,CR-0005,AGY-06,DEAL-1116
INT-00092,2025-01-29T05:42:00+00:00,CUST-0033,CAMP-010,SKU-0021,display,impression,SES-00170,APAC,SMB,0.27,0.0,CR-0023,AGY-04,DEAL-1040
INT-00093,2025-03-02T23:53:00+00:00,CUST-0017,CAMP-006,SKU-0014,partner,click,SES-00165,LATAM,Startup,3.18,0.0,CR-0009,AGY-04,DEAL-1095
INT-00094,2025-02-01T02:31:00+00:00,CUST-0083,CAMP-028,SKU-0005,display,impression,SES-00080,APAC,SMB,0.27,0.0,CR-0014,AGY-01,DEAL-1109
INT-00095,2025-03-12T04:00:00+00:00,CUST-0025,CAMP-015,SKU-0013,email,impression,SES-00076,APAC,SMB,0.05,0.0,CR-0033,AGY-06,DEAL-1113
INT-00096,2025-03-17T16:06:00+00:00,CUST-0085,CAMP-022,SKU-0027,email,click,SES-00040,LATAM,Mid-Market,0.16,0.0,CR-0012,AGY-06,DEAL-1044
INT-00097,2025-02-25T13:51:00+00:00,CUST-0093,CAMP-029,SKU-0018,paid_search,click,SES-00174,EMEA,Enterprise,2.34,0.0,CR-0029,AGY-06,DEAL-1014
INT-00098,2025-02-03T11:33:00+00:00,CUST-0030,CAMP-016,SKU-0028,partner,purchase,SES-00201,NA,Enterprise,39.16,13008.01,CR-0013,AGY-04,DEAL-1085
INT-00099,2025-01-05T17:59:00+00:00,CUST-0049,CAMP-027,SKU-0005,email,mql,SES-00206,APAC,Mid-Market,0.84,0.0,CR-0017,AGY-04,DEAL-1034
INT-00100,2025-03-24T09:40:00+00:00,CUST-0092,CAMP-008,SKU-0016,partner,impression,SES-00042,NA,Startup,0.9,0.0,CR-0029,AGY-05,DEAL-1107
INT-00101,2025-02-06T02:04:00+00:00,CUST-0012,CAMP-015,SKU-0021,content_syndication,demo_booked,SES-00007,APAC,Enterprise,4.15,198.91,CR-0004,AGY-06,DEAL-1049
INT-00102,2025-01-31T12:27:00+00:00,CUST-0029,CAMP-002,SKU-0023,display,trial_start,SES-00215,LATAM,Enterprise,9.92,143.44,CR-0042,AGY-04,DEAL-1033
INT-00103,2025-01-24T07:04:00+00:00,CUST-0090,CAMP-009,SKU-0022,content_syndication,click,SES-00002,LATAM,Mid-Market,0.91,0.0,CR-0002,AGY-01,DEAL-1098
INT-00104,2025-01-05T08:18:00+00:00,CUST-0071,CAMP-028,SKU-0007,social_paid,form_submit,SES-00061,APAC,Enterprise,4.32,0.0,CR-0008,AGY-01,DEAL-1045
INT-00105,2025-02-22T08:12:00+00:00,CUST-0009,CAMP-008,SKU-0026,content_syndication,click,SES-00005,NA,Startup,0.92,0.0,CR-0033,AGY-05,DEAL-1110
INT-00106,2025-01-18T01:11:00+00:00,CUST-0038,CAMP-028,SKU-0014,paid_search,landing_view,SES-00062,NA,Enterprise,1.05,0.0,CR-0027,AGY-01,DEAL-1016
INT-00107,2025-03-21T11:49:00+00:00,CUST-0068,CAMP-024,SKU-0025,social_paid,trial_start,SES-00140,APAC,SMB,13.36,490.52,CR-0025,AGY-06,DEAL-1115
INT-00108,2025-03-08T22:02:00+00:00,CUST-0003,CAMP-023,SKU-0009,social_paid,impression,SES-00188,LATAM,SMB,0.39,0.0,CR-0038,AGY-06,DEAL-1031
INT-00109,2025-02-13T13:22:00+00:00,CUST-0006,CAMP-023,SKU-0027,display,mql,SES-00045,LATAM,Mid-Market,4.4,0.0,CR-0045,AGY-06,DEAL-1011
INT-00110,2025-01-29T17:25:00+00:00,CUST-0092,CAMP-030,SKU-0027,paid_search,impression,SES-00012,NA,Startup,0.85,0.0,CR-0003,AGY-03,DEAL-1107
INT-00111,2025-02-02T11:49:00+00:00,CUST-0070,CAMP-031,SKU-0001,partner,impression,SES-00166,EMEA,Mid-Market,1.0,0.0,CR-0019,AGY-05,DEAL-1085
INT-00112,2025-03-09T15:46:00+00:00,CUST-0084,CAMP-022,SKU-0015,partner,impression,SES-00095,LATAM,Mid-Market,0.88,0.0,CR-0026,AGY-06,DEAL-1025
INT-00113,2025-03-08T04:20:00+00:00,CUST-0044,CAMP-012,SKU-0008,content_syndication,landing_view,SES-00095,EMEA,Enterprise,0.39,0.0,CR-0006,AGY-02,DEAL-1084
INT-00114,2025-01-27T21:50:00+00:00,CUST-0078,CAMP-012,SKU-0008,partner,impression,SES-00021,LATAM,Mid-Market,0.85,0.0,CR-0043,AGY-02,DEAL-1119
INT-00115,2025-02-09T14:08:00+00:00,CUST-0022,CAMP-029,SKU-0015,display,click,SES-00187,APAC,Mid-Market,0.75,0.0,CR-0040,AGY-06,DEAL-1008
INT-00116,2025-01-13T23:54:00+00:00,CUST-0010,CAMP-026,SKU-0009,display,click,SES-00192,NA,Enterprise,0.88,0.0,CR-0002,AGY-03,DEAL-1007
INT-00117,2025-02-04T20:21:00+00:00,CUST-0005,CAMP-009,SKU-0003,social_paid,impression,SES-00166,LATAM,Mid-Market,0.41,0.0,CR-0024,AGY-01,DEAL-1006
INT-00118,2025-02-22T05:45:00+00:00,CUST-0078,CAMP-010,SKU-0011,content_syndication,trial_start,SES-00096,LATAM,Mid-Market,7.08,157.19,CR-0005,AGY-04,DEAL-1119
INT-00119,2025-03-25T03:39:00+00:00,CUST-0032,CAMP-008,SKU-0026,paid_search,form_submit,SES-00128,APAC,Enterprise,11.02,0.0,CR-0025,AGY-05,DEAL-1085
INT-00120,2025-01-12T03:54:00+00:00,CUST-0091,CAMP-029,SKU-0014,webinar,purchase,SES-00074,APAC,Mid-Market,25.67,5827.19,CR-0013,AGY-06,DEAL-1082
INT-00121,2025-03-23T03:08:00+00:00,CUST-0012,CAMP-021,SKU-0015,display,landing_view,SES-00141,APAC,Enterprise,0.3,0.0,CR-0019,AGY-06,DEAL-1049
INT-00122,2025-01-22T13:09:00+00:00,CUST-0092,CAMP-012,SKU-0002,display,click,SES-00032,NA,Startup,0.87,0.0,CR-0009,AGY-02,DEAL-1086
INT-00123,2025-03-22T11:39:00+00:00,CUST-0047,CAMP-024,SKU-0017,content_syndication,mql,SES-00142,EMEA,SMB,2.68,0.0,CR-0040,AGY-06,DEAL-1113
INT-00124,2025-02-28T11:12:00+00:00,CUST-0068,CAMP-027,SKU-0005,organic_social,mql,SES-00019,APAC,SMB,0.14,0.0,CR-0021,AGY-04,DEAL-1115
INT-00125,2025-01-14T22:16:00+00:00,CUST-0017,CAMP-012,SKU-0002,email,click,SES-00015,LATAM,Startup,0.14,0.0,CR-0034,AGY-02,DEAL-1095
INT-00126,2025-01-23T19:27:00+00:00,CUST-0042,CAMP-015,SKU-0005,display,trial_start,SES-00133,EMEA,SMB,7.24,137.23,CR-0006,AGY-06,DEAL-1103
INT-00127,2025-03-01T23:01:00+00:00,CUST-0079,CAMP-006,SKU-0007,email,click,SES-00149,EMEA,Startup,0.16,0.0,CR-0011,AGY-04,DEAL-1085
INT-00128,2025-01-20T04:31:00+00:00,CUST-0073,CAMP-003,SKU-0007,paid_search,impression,SES-00165,EMEA,Startup,0.81,0.0,CR-0042,AGY-03,DEAL-1118
INT-00129,2025-03-29T01:50:00+00:00,CUST-0080,CAMP-002,SKU-0014,content_syndication,demo_booked,SES-00140,NA,Startup,3.42,161.47,CR-0042,AGY-04,DEAL-1034
INT-00130,2025-02-14T01:51:00+00:00,CUST-0039,CAMP-030,SKU-0014,social_paid,landing_view,SES-00041,LATAM,Startup,0.47,0.0,CR-0027,AGY-03,DEAL-1008
INT-00131,2025-03-30T18:44:00+00:00,CUST-0078,CAMP-010,SKU-0008,display,demo_booked,SES-00082,LATAM,Mid-Market,3.53,103.0,CR-0023,AGY-04,DEAL-1100
INT-00132,2025-01-09T19:29:00+00:00,CUST-0041,CAMP-016,SKU-0025,content_syndication,impression,SES-00116,EMEA,SMB,0.26,0.0,CR-0010,AGY-04,DEAL-1056
INT-00133,2025-03-07T15:19:00+00:00,CUST-0079,CAMP-027,SKU-0008,webinar,purchase,SES-00041,EMEA,Startup,39.39,14553.52,CR-0037,AGY-04,DEAL-1085
INT-00134,2025-03-29T23:45:00+00:00,CUST-0064,CAMP-020,SKU-0022,content_syndication,impression,SES-00101,NA,Startup,0.28,0.0,CR-0030,AGY-06,DEAL-1070
INT-00135,2025-02-18T20:25:00+00:00,CUST-0007,CAMP-004,SKU-0020,partner,click,SES-00216,LATAM,Enterprise,2.56,0.0,CR-0019,AGY-06,DEAL-1021
INT-00136,2025-01-05T02:50:00+00:00,CUST-0056,CAMP-009,SKU-0003,partner,form_submit,SES-00196,EMEA,SMB,12.57,0.0,CR-0024,AGY-01,DEAL-1000
INT-00137,2025-03-17T02:55:00+00:00,CUST-0047,CAMP-019,SKU-0004,social_paid,click,SES-00116,EMEA,SMB,1.38,0.0,CR-0018,AGY-05,DEAL-1113
INT-00138,2025-03-10T17:14:00+00:00,CUST-0017,CAMP-007,SKU-0025,organic_social,impression,SES-00087,LATAM,Startup,0.01,0.0,CR-0024,AGY-05,DEAL-1095
INT-00139,2025-02-17T06:29:00+00:00,CUST-0065,CAMP-003,SKU-0007,paid_search,impression,SES-00183,EMEA,Startup,0.74,0.0,CR-0031,AGY-03,DEAL-1055
INT-00140,2025-02-24T01:00:00+00:00,CUST-0042,CAMP-021,SKU-0027,email,click,SES-00158,EMEA,SMB,0.14,0.0,CR-0020,AGY-06,DEAL-1103
INT-00141,2025-01-10T23:26:00+00:00,CUST-0091,CAMP-020,SKU-0015,content_syndication,mql,SES-00095,APAC,Mid-Market,6.58,0.0,CR-0044,AGY-06,DEAL-1044
INT-00142,2025-01-21T17:04:00+00:00,CUST-0077,CAMP-031,SKU-0013,partner,purchase,SES-00201,LATAM,SMB,40.64,5769.72,CR-0037,AGY-05,DEAL-1022
INT-00143,2025-01-02T17:22:00+00:00,CUST-0019,CAMP-016,SKU-0025,paid_search,click,SES-00180,APAC,Startup,2.46,0.0,CR-0013,AGY-04,DEAL-1117
INT-00144,2025-03-06T05:47:00+00:00,CUST-0020,CAMP-027,SKU-0008,webinar,click,SES-00199,EMEA,SMB,3.57,0.0,CR-0004,AGY-04,DEAL-1007
INT-00145,2025-03-25T00:33:00+00:00,CUST-0072,CAMP-021,SKU-0020,content_syndication,click,SES-00081,LATAM,SMB,1.01,0.0,CR-0030,AGY-06,DEAL-1095
